1,1306581660000,41,1,1,2
4,1393017720000,42,2,4,1
1,1301077020000,41,1,0,1
2,1334943240000,41,1,1,1
2,1316201400000,42,2,4,1
1,1307726040000,41,1,3,0
2,1327082400000,41,43,3,0
1,1301133900000,15,23,0,1
3,1379709900000,38,2,0,1
1,1289575080000,28,12,1,0
1,1311969840000,17,26,2,0
2,1341000120000,26,11,4,0
2,1317407400000,42,23,3,0
4,1400870233000,34,25,3,0
6,1448052057000,8,26,2,2
2,1333737360000,28,13,2,1
5,1418409015000,42,2,1,1
2,1336243440000,42,2,1,0
1,1311362220000,34,17,1,1
3,1371933300000,28,34,6,2
1,1293822600000,42,2,0,1
3,1367005260000,15,25,4,4
2,1336844160000,41,43,3,1
2,1334948100000,6,33,4,0
2,1345837500000,19,16,1,2
1,1298135880000,15,23,4,1
5,1414185220000,38,7,1,1
4,1411156494000,42,23,3,1
1,1306582080000,42,1,3,1
1,1305483480000,42,2,0,0
1,1307208600000,42,2,1,0
4,1394825175000,41,17,0,0
5,1423256837000,34,28,2,0
1,1312575540000,42,2,2,0
3,1363989480000,2,42,2,1
1,1295045100000,12,26,0,2
6,1457727464000,34,40,8,0
3,1374261060000,42,23,3,1
2,1318612500000,42,2,1,0
2,1347648300000,28,15,0,2
3,1368813300000,41,37,5,2
1,1297465320000,23,15,0,1
6,1448048726000,36,15,2,3
2,1335786540000,41,43,3,3
1,1294443000000,15,23,1,2
3,1366393560000,41,43,5,1
4,1395524392000,42,2,1,0
3,1359741840000,42,2,0,2
1,1301682360000,42,1,0,1
1,1313169240000,26,36,1,0
2,1345234260000,28,13,1,3
4,1396035126000,15,19,1,0
1,1304099460000,15,19,2,1
2,1323458100000,42,2,0,3
4,1388783237000,2,39,0,0
6,1446240808000,42,12,2,0
5,1415393910000,2,32,4,0
2,1321034400000,41,43,4,1
4,1389386561000,15,22,2,0
4,1388779108000,17,24,0,0
1,1301691180000,41,1,1,0
1,1315599000000,42,2,2,0
4,1382119314000,42,2,0,2
2,1319218200000,15,28,4,0
3,1359747360000,28,13,4,0
4,1392413751000,42,2,0,1
4,1389387544000,36,6,0,1
3,1360360380000,42,30,3,0
1,1301075340000,41,1,0,1
1,1291404720000,42,2,2,4
3,1368819540000,26,40,3,0
4,1388786355000,28,13,0,0
1,1304704200000,1,42,1,2
1,1286118120000,42,2,0,4
6,1446847766000,34,28,2,1
2,1316802600000,42,2,1,3
4,1397852278000,13,22,2,3
1,1292178180000,41,43,0,1
3,1362773820000,26,14,4,1
3,1356729780000,12,27,0,3
1,1304702100000,15,43,0,1
3,1367352480000,28,15,0,1
1,1288348560000,41,1,0,3
4,1387572031000,42,2,1,0
2,1344632940000,16,20,4,2
4,1394824295000,41,17,2,1
1,1313178480000,42,23,4,0
2,1336241640000,42,2,2,1
1,1295034480000,35,5,0,3
2,1331923500000,23,34,1,3
3,1358693100000,26,17,2,1
2,1336244340000,42,2,1,4
4,1391201175000,42,5,3,0
3,1377288360000,42,2,2,2
3,1366398600000,17,24,3,2
3,1370633280000,2,39,0,1
1,1301681340000,41,1,2,0
1,1303503060000,38,2,0,0
5,1436560842000,42,19,0,1
6,1447451881000,34,28,1,2
1,1291404900000,42,2,0,2
5,1415390606000,12,21,3,0
